Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
8721/010,500 Terry Francois Blvd,500 Terry Francois Blvd,94158,319279,N/A,,http://propertymap.sfplanning.org/?&search=8721/010,N/A,Exempt,Exempt,Exempt,Exempt - New Construction,4/1/19,Upcoming,500 Terry Francois Blvd,,San Francisco,POINT (-122.386428 37.770427),,,CA,94158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0355/006,1242 Market Street,1240 MARKET ST,94102,11690,Office,,http://propertymap.sfplanning.org/?&search=0355/006,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,1240 MARKET ST,,San Francisco,POINT (-122.41543 37.77819),,,CA,94102,,,,,,,,,,,,,,,,87,36.1,77.1,-40.8,-40.9,30,2.6,33.4,74.3,87,30.2,74.3,-40.5,-40.5,25.5,2.2,30.2,74.3
3515/021,1699 HOWARD ST,1699 HOWARD ST,94103,12198,N/A,,http://propertymap.sfplanning.org/?&search=3515/021,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1699 HOWARD ST,,San Francisco,POINT (-122.417359 37.770987),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0329/002A,840 MARKET ST,840 MARKET ST,94102,14300,N/A,,http://propertymap.sfplanning.org/?&search=0329/002A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,840 MARKET ST,,San Francisco,POINT (-122.406729 37.785064),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4058/009,2203 3RD ST,2203 3RD ST,94107,46230,N/A,,http://propertymap.sfplanning.org/?&search=4058/009,N/A,Exempt - Vacant,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,2203 3RD ST,,San Francisco,POINT (-122.388586 37.76159),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/081,W Hotel - San Francisco,187 3RD ST,94105,291614,Hotel,,http://propertymap.sfplanning.org/?&search=3722/081,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,187 3RD ST,100,San Francisco,POINT (-122.400784 37.78525),56.9,,CA,94105,-65.7,,1005.56,,56.2,,79,81.7,182.7,-26.4,-26.4,1722.5,6,81.7,182.7,83,78.4,174.5,-29.6,-29.6,1648.6,5.7,77.3,173.4,80,75.2,173.8,-27,-27,1540.5,5.3,75.4,171.5
3905/003,Byer California - 2460 Alameda St.,2460 ALAMEDA ST,94103,35124,Distribution Center,,http://propertymap.sfplanning.org/?&search=3905/003,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,2460 ALAMEDA ST,,San Francisco,POINT (-122.409599 37.768248),,,CA,94103,,,,,,,66,19.8,45.7,-22.8,,51.47,,18.5,44.3,69,18.5,40.8,-26.8,-26.8,44.7,1.3,16.9,39.1,65,14.3,36.6,-21.9,-21.9,37,1.1,16.2,38.7
5284A/008,La Salle Industrial Park,2000 McKinnon Ave,94124,449760,N/A,,http://propertymap.sfplanning.org/?&search=5284A/008,Violation - Did Not Report,Violation - Insufficient Data,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Complied,2000 McKinnon Ave,,San Francisco,POINT (-122.397866 37.740757),,,CA,94124,,,,,,,,6.9,21.8,-63.7,,274.6,,7.1,22.2,,,,,,,,,,,,,,,,,,
4324/002,1950-2190 Cesar Chavez,2150 CESAR CHAVEZ ST,94107,195487,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=4324/002,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,2150 CESAR CHAVEZ ST,100,San Francisco,,3.9,,CA,94107,-85,,56.06,,3.9,,,,,,,,,,,,11.9,34,-72.4,-72.4,181,0.9,11.9,34,,13.1,38.8,-68.5,-68.5,202.4,1,13.1,38.8
1443/016,Lamps Plus,4700 GEARY BLVD,94118,10000,N/A,,http://propertymap.sfplanning.org/?&search=1443/016,N/A,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Complied,4700 GEARY BLVD,,San Francisco,POINT (-122.469944 37.780827),,,CA,94118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0690/001,1243 Van Ness,1243 VAN NESS AVE,94109,11760,Office,,http://propertymap.sfplanning.org/?&search=0690/001,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,1243 VAN NESS AVE,,San Francisco,POINT (-122.421796 37.787326),,,CA,94109,,,,,,,,,,,,,,,,,221.3,356.7,189.7,189.8,162.5,13.8,221.7,357.1,,205.1,337.8,128.2,128.2,147.7,12.6,213.8,346.9
0282/022,San Francisco-Canterbury,726 SUTTER ST,94109,128335,Hotel,,http://propertymap.sfplanning.org/?&search=0282/022,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,726 SUTTER ST,10,San Francisco,POINT (-122.412367 37.788755),57.1,,CA,94109,52.9,,526.26,,54.9,,11,54.3,120,51,,503.86,,53.9,119.7,10,51.3,111.3,53.1,53.1,472.3,3.7,51.6,111.6,8,46.1,105.8,58.7,58.7,414.5,3.2,48.9,108.8
0040/017,295 BAY ST,295 BAY ST,94133,26069,N/A,,http://propertymap.sfplanning.org/?&search=0040/017,N/A,Exempt,Exempt,Exempt,Exempt,4/1/14,Upcoming,295 BAY ST,,San Francisco,POINT (-122.411675 37.80586),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4170/009,1155 INDIANA ST,1155 INDIANA ST,94107,68332,N/A,,http://propertymap.sfplanning.org/?&search=4170/009,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Did Not Comply,1155 INDIANA ST,,San Francisco,POINT (-122.390985 37.755709),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295/014,333 Eucalyptus dr,333 EUCALYPTUS DR,94132,26640,Other,,http://propertymap.sfplanning.org/?&search=7295/014,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,333 EUCALYPTUS DR,,San Francisco,POINT (-122.476564 37.731143),,,CA,94132,,,,,,,,343,520.3,779.4,,462.86,,338.5,515.6,,290.2,430.5,249.7,249.7,456.2,17.1,283.3,423.3,,278.5,416.7,238.4,238.4,439.1,16.5,289.9,428.6
5237/038,1201 EVANS AVE,1201 EVANS AVE,94124,15498,N/A,,http://propertymap.sfplanning.org/?&search=5237/038,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1201 EVANS AVE,,San Francisco,POINT (-122.381283 37.738889),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780/078,083-San Francisco,836 BRANNAN ST,94103,33549,Retail Store,,http://propertymap.sfplanning.org/?&search=3780/078,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,836 BRANNAN ST,,San Francisco,POINT (-122.404162 37.772298),,,CA,94103,,,,,,,95,42.4,120.8,-61.4,,102.03,,42.4,120.8,95,42,117.1,-60.3,-60.3,96,2.9,42,117.1,93,44.1,124.1,-56.3,-56.3,102.2,3,44.1,124.1
0260/004,217 SANSOME ST,217 SANSOME ST,94104,10588,N/A,,http://propertymap.sfplanning.org/?&search=0260/004,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,217 SANSOME ST,,San Francisco,POINT (-122.401013 37.792378),,,CA,94104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504/044,1661 MARKET ST,1661 MARKET ST,94103,33000,Office,,http://propertymap.sfplanning.org/?&search=3504/044,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Complied,4/1/14,Did Not Comply,1661 MARKET ST,,San Francisco,POINT (-122.421663 37.77313),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,96,30.2,84.1,-50.8,-50.8,53.3,2.3,30.2,84.1
3775/102,Sherman C. Clay Building LLC,35 SOUTH PARK,94107,16310,Office,,http://propertymap.sfplanning.org/?&search=3775/102,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,35 SOUTH PARK,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,56,58.7,143.2,-6.7,-6.6,73,4.5,59,143.3,57,54.2,137,-8,-8,64.7,4,57.5,137.7
4224/045,San Francisco Food Bank,900 PENNSYLVANIA AVE,94107,55000,Distribution Center,,http://propertymap.sfplanning.org/?&search=4224/045,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,900 PENNSYLVANIA AVE,25,San Francisco,POINT (-122.392816 37.754382),44.7,,CA,94107,40.4,,223.19,,44.7,,29,44.4,148.4,30.2,,222.01,,47.4,158.3,28,45.1,141.5,32,32,202.1,3.7,45.2,141.9,19,51.7,162.2,52.8,52.8,231.7,4.2,51.7,162.2
3705/039,Hotel Zetta,55 5TH ST,94103,105905,Hotel,,http://propertymap.sfplanning.org/?&search=3705/039,Exempt,Exempt - Change of Ownership,Exempt - Change of Ownership,Exempt - Change of Ownership,Complied,4/1/14,Complied,55 5TH ST,,San Francisco,POINT (-122.407133 37.783237),,,CA,94103,,,,,,,,,,,,,,,,70,48.5,122.7,-17.9,-18,399.1,3.8,50.4,128.7,40,61.1,155.4,9.2,9.2,475.3,4.5,58.5,147
0327/018,165 OFARRELL ST,165 OFARRELL ST,94102,23925,N/A,,http://propertymap.sfplanning.org/?&search=0327/018,N/A,N/A,Exempt - Vacant,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,165 OFARRELL ST,,San Francisco,POINT (-122.407416 37.786517),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/005,1740 Cesar Chavez,1740 Cesar Chavez,94107,60573,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=4288/005,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,1740 Cesar,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,,41.9,110.1,-10.6,-10.6,189.3,3.1,41.7,110.7,,41.6,111.7,-9.3,-9.3,189.7,3.1,42.2,110.4
0714/016,1001 Van Ness Avenue,1001 VAN NESS AVE,94109,111244,N/A,,http://propertymap.sfplanning.org/?&search=0714/016,Complied,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Did Not Comply,1001 VAN NESS AVE,,San Francisco,POINT (-122.421332 37.784968),209.8,,CA,94109,184.8,,1277.49,,203.7,,1,215.5,454.6,137.3,,1279,,215.9,458.3,,,,,,,,,,,,,,,,,,
2513/002,2600 SLOAT BLVD,2600 SLOAT BLVD,94116,13183,N/A,,http://propertymap.sfplanning.org/?&search=2513/002,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2600 SLOAT BLVD,,San Francisco,POINT (-122.502317 37.735547),,,CA,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0239/026,199001 420 Montgomery Street,464 CALIFORNIA ST,94104,380000,Financial Office,,http://propertymap.sfplanning.org/?&search=0239/026,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - ENERGY STAR,464 CALIFORNIA ST,,San Francisco,POINT (-122.402347 37.792914),,,CA,94104,,,,,,,90,68.7,141,-45.5,,1821.9,,65.4,137.5,90,68.7,142,-44.9,-44.9,1748.3,4.6,,,95,46.7,113.7,-53.5,-53.5,1276.8,3.4,,
3707/020,658 MISSION ST,658 MISSION ST,94105,23690,N/A,,http://propertymap.sfplanning.org/?&search=3707/020,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,658 MISSION ST,,San Francisco,POINT (-122.401184 37.786916),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717/022,117 Mission Street,117 MISSION ST,94105,393154,N/A,,http://propertymap.sfplanning.org/?&search=3717/022,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Exempt - LEED EBOM,117 MISSION ST,97,San Francisco,POINT (-122.394644 37.79208),29.4,,CA,94105,-57.6,,991.8,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737/030,The Orrick Building,405 HOWARD ST,94105,665148,Office,,http://propertymap.sfplanning.org/?&search=3737/030,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,405 HOWARD ST,92,San Francisco,POINT (-122.395578 37.788875),51,,CA,94105,-43.7,,2321.25,,52.2,,92,50.2,167.6,-44.4,,2284.08,,50.2,167.6,93,39.8,125.1,-50,-50,1956.5,3.2,39.8,125.1,94,37.8,118.7,-52.1,-52.1,1856,3.1,37.8,118.7
0024/025,655 Beach St.,2750 HYDE ST,94109,57610,N/A,,http://propertymap.sfplanning.org/?&search=0024/025,Complied,Violation - Insufficient Data,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2750 HYDE ST,,San Francisco,POINT (-122.420507 37.806385),,,CA,94109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717/002,Spear Street Sapphire LLC,124 SPEAR ST,94105,22746,Office,,http://propertymap.sfplanning.org/?&search=3717/002,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,124 SPEAR ST,,San Francisco,POINT (-122.393551 37.792129),,,CA,94105,,,,,,,,,,,,,,,,79,40.1,117.1,-31,-31,71.7,3.2,40.2,117.2,81,36.8,109.7,-33.6,-33.6,66.4,2.9,37.8,113
0239/003,UB 001 400 California,400 CALIFORNIA ST,94104,312620,Office,,http://propertymap.sfplanning.org/?&search=0239/003,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - ENERGY STAR,400 CALIFORNIA ST,93,San Francisco,POINT (-122.401465 37.793028),59.1,,CA,94104,-48.1,,1378.51,,55.4,,89,62.6,132.7,-43.3,-43.4,1380.7,4.4,62.6,132.7,84,69.7,147.4,-36.6,-36.6,1535.7,4.9,69.7,147.4,89,50.9,127.7,-44,-44,1155.1,3.7,53.2,130.2
0166/001,747 Front Street,101 BROADWAY,94111,71775,Office,,http://propertymap.sfplanning.org/?&search=0166/001,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,101 BROADWAY,84,San Francisco,POINT (-122.40022 37.798682),42.8,,CA,94111,-36.5,,231.76,,41.6,,80,45,128.5,-31.8,,267.86,,44.1,127.6,85,35.5,109.2,-37.9,-38,221.2,3.1,35.5,109.2,89,31.7,97.3,-43.3,-43.3,183.4,2.6,31.7,97.3
3729/004,230 8TH ST,230 8TH ST,94103,19520,N/A,,http://propertymap.sfplanning.org/?&search=3729/004,N/A,N/A,Exempt - Tenant Turnover,Exempt - Tenant Turnover,Exempt - Tenant Turnover,4/1/14,Pending,230 8TH ST,,San Francisco,POINT (-122.410927 37.775674),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736/006,246 First Street LLC,234 1ST ST,94105,70000,N/A,,http://propertymap.sfplanning.org/?&search=3736/006,Violation - Insufficient Data,Complied,Complied,Complied,Exempt - Change of Ownership,11/15/12,Complied,234 1ST ST,66,San Francisco,POINT (-122.395328 37.787989),50.6,,CA,94105,-17.5,,307.6,,49.8,,65,54.5,156.5,-16.4,,318.2,,54.5,156.6,59,68.2,166.1,-10.4,-10.3,363.8,5.2,68.2,166.1,,,,,,,,,
3722/006,116 NATOMA ST,116 NATOMA ST,94105,18840,Office,,http://propertymap.sfplanning.org/?&search=3722/006,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,116 NATOMA ST,,San Francisco,POINT (-122.399236 37.786862),,,CA,94105,,,,,,,,,,,,,,,,,83,124.4,-16,-16,92.6,4.9,83.4,124.8,,78.8,119.7,-19.2,-19.2,88.3,4.7,81.8,122.8
3707/002,20 2ND ST,28 2ND ST,94105,28383,N/A,,http://propertymap.sfplanning.org/?&search=3707/002,N/A,Exempt,Exempt,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,28 2ND ST,,San Francisco,POINT (-122.400783 37.788775),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0173/005,607 FRONT ST,607 FRONT ST,94111,15763,Office,,http://propertymap.sfplanning.org/?&search=0173/005,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Complied,4/1/16,Upcoming,607 FRONT ST,,San Francisco,POINT (-122.399547 37.797195),,,CA,94111,,,,,,,,,,,,,,,,,,,,,,,,,68,44.7,97.7,-19.7,-19.7,48.3,3.1,54,107.5
0811/022,150 Hayes Street,150 HAYES ST,94102,80329,Office,,http://propertymap.sfplanning.org/?&search=0811/022,Exempt,Exempt - Financial Distress,Exempt - Vacant,Complied,Complied,4/1/13,Complied,150 HAYES ST,,San Francisco,POINT (-122.418822 37.777396),,,CA,94102,,,,,,,4,302,630.4,91.3,,853.4,,321.9,693.1,1,445.5,880.2,167.2,167.2,1225.7,30.5,445.5,880.2,1,426,860.4,166.7,166.7,1134.5,28.2,445.5,880.9
0261/007,220 Sansome,200 SANSOME ST,94104,64104,Office,,http://propertymap.sfplanning.org/?&search=0261/007,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,200 SANSOME ST,88,San Francisco,POINT (-122.400983 37.792228),50.1,,CA,94104,-42.3,,218.47,,45.5,,93,40,88.3,-51.3,,185.33,,37.9,86.1,89,49.4,97.5,-43.5,-43.5,216.9,3.4,50.1,98.2,90,40.3,91.8,-45.2,-45.2,180.5,2.8,47.3,99.1
3735/013,666 FOLSOM ST,666 FOLSOM ST,94105,398018,N/A,,http://propertymap.sfplanning.org/?&search=3735/013,N/A,Exempt - New Construction,Exempt - New Construction,Exempt - New Construction,Exempt - New Construction,4/1/19,Upcoming,666 FOLSOM ST,,San Francisco,POINT (-122.398201 37.784371),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704/078,995 MARKET ST,995 MARKET ST,94103,94000,Office,,http://propertymap.sfplanning.org/?&search=3704/078,Exempt,Exempt,Exempt,Exempt - Change of Ownership,Complied,4/1/15,Complied,995 MARKET ST,,San Francisco,POINT (-122.410111 37.782383),,,CA,94103,,,,,,,,,,,,,,,,,,,,,79.3,,,,100,12.3,36.4,-81,-81,91.6,1,12.3,36.4
3756/010,351 9TH ST,351 9TH ST,94103,30000,N/A,,http://propertymap.sfplanning.org/?&search=3756/010,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,351 9TH ST,,San Francisco,POINT (-122.410731 37.773049),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775/004,522 2ND ST,522 2ND ST,94107,13475,Office,,http://propertymap.sfplanning.org/?&search=3775/004,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/13,Pending,522 2ND ST,,San Francisco,POINT (-122.393195 37.782725),,,CA,94107,,,,,,,,,,,,,,,,,45.3,123.1,-16.8,-16.8,46.3,3.4,45.5,123.2,,48,132,-10.9,-10.9,49.3,3.7,50.1,132.6
3722/007,149 New Montgomery,149 NEW MONTGOMERY ST,94105,67807,Office,,http://propertymap.sfplanning.org/?&search=3722/007,Complied,Complied,Complied,Complied,Complied,11/15/12,Pending,149 NEW MONTGOMERY ST,95,San Francisco,POINT (-122.399513 37.786642),46.3,,CA,94105,-57.9,,260.76,,45.4,,93,53.6,153.8,-52.8,,256.05,,52.8,153,57,67.1,177,-7.7,-7.7,361.8,5.3,67.3,177.2,55,67.2,176.4,-5.8,-5.8,339.5,5,68.6,176.9
3760/027,475 6TH ST,475 6TH ST,94107,14250,N/A,,http://propertymap.sfplanning.org/?&search=3760/027,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,475 6TH ST,,San Francisco,POINT (-122.402858 37.776295),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0312/006,744 MARKET ST,744 MARKET ST,94108,44685,N/A,,http://propertymap.sfplanning.org/?&search=0312/006,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,744 MARKET ST,,San Francisco,POINT (-122.40451 37.786814),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708/008,82-84 First Street,82 1ST ST,94105,10196,N/A,,http://propertymap.sfplanning.org/?&search=3708/008,N/A,N/A,Complied,Complied,Violation - Did Not Report,4/1/13,Complied,82 1ST ST,,San Francisco,POINT (-122.397776 37.789952),,,CA,94105,,,,,,,,,,,,,,,,,56.1,105.9,-75.5,-75.5,38.3,3.8,56.1,105.8,,,,,,,,,
0309/011,212 Stockton Street,212 STOCKTON ST,94108,42236,Retail Store,,http://propertymap.sfplanning.org/?&search=0309/011,N/A,Complied,Complied,Complied,Complied,4/1/14,Pending,212 STOCKTON ST,,San Francisco,POINT (-122.406622 37.787671),,,CA,94108,,,,,,,3,92.8,309.4,121.8,,355.75,,92.8,309.4,38,50.9,159.6,15.4,15.4,175.2,4.1,50.9,159.6,22,60.1,188.8,43.4,43.4,207.1,4.9,60.1,188.8
0287/001,251 Kearny Building,251 KEARNY ST,94108,31978,N/A,,http://propertymap.sfplanning.org/?&search=0287/001,N/A,Violation - Insufficient Data,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,251 KEARNY ST,,San Francisco,POINT (-122.404017 37.790566),,,CA,94108,,,,,,,,0,0,,,85.68,,0,0,,,,,,,,,,,,,,,,,,
3721/082,Mission & Shaw LLC,545 MISSION ST,94105,29309,Office,,http://propertymap.sfplanning.org/?&search=3721/082,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,545 MISSION ST,,San Francisco,POINT (-122.398679 37.788894),,,CA,94105,,,,,,,40,109.2,236.5,10.5,,229.3,,109.2,236.5,,120.6,236,59.4,59.4,231.4,7.9,120.6,236,,113.5,231,56,56,221.3,7.5,115.8,233.4
2695/001,Castro Building,4109 18TH ST,94114,13646,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=2695/001,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,4109 18TH ST,,San Francisco,POINT (-122.435242 37.760873),,,CA,94114,,,,,,,,,,,,,,,,,166.6,305.8,148.3,148.4,150.5,11,166.6,305.8,,119,232.7,89,89,106.2,7.8,119,232.7
3704/021,972 Mission LLC,972 MISSION ST,94103,66000,Office,,http://propertymap.sfplanning.org/?&search=3704/021,Complied,Complied,Complied,Exempt - Tenant Turnover,Complied,11/15/12,Complied,972 MISSION ST,,San Francisco,POINT (-122.408105 37.781449),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,100,18.7,54.1,-75.6,-75.6,96.4,1.5,18.7,54.1
0761/028,San Francisco FCU,770 Golden Gate Ave,94102,37500,Office,,http://propertymap.sfplanning.org/?&search=0761/028,N/A,Complied,Complied,Complied,Complied,4/1/14,Did Not Comply,770 Golden Gate Ave,,San Francisco,POINT (-122.423352 37.780657),,,CA,94102,,,,,,,31,109.1,233.4,22,,291.03,,109.1,233.4,38,100.7,204.5,13.5,13.5,250.9,6.7,100.7,204.5,36,93.9,199.7,15.2,15.2,238.6,6.4,95,197.4
3781/001A,1045 BRYANT ST,1045 BRYANT ST,94103,32953,N/A,,http://propertymap.sfplanning.org/?&search=3781/001A,N/A,Exempt - Change of Ownership,Exempt - Change of Ownership,Exempt - Change of Ownership,Exempt - Tenant Turnover,4/1/14,Complied,1045 BRYANT ST,,San Francisco,POINT (-122.407657 37.771998),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0136/004A,940 BATTERY ST,940 BATTERY ST,94111,21720,N/A,,http://propertymap.sfplanning.org/?&search=0136/004A,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/17,Upcoming,940 BATTERY ST,,San Francisco,POINT (-122.401349 37.800018),,,CA,94111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/004,144 Second Street,144 2ND ST,94105,24564,Office,,http://propertymap.sfplanning.org/?&search=3722/004,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/15,Pending,144 2ND ST,,San Francisco,POINT (-122.398982 37.787352),,,CA,94105,,,,,,,,,,,,,,,,58,101.9,178.1,-8.5,-8.6,161.9,6.6,102.2,178.5,51,95.9,188,-1.8,-1.8,154.2,6.3,96.9,183.2
1202/002J,616 DIVISADERO ST,616 DIVISADERO ST,94117,30108,N/A,,http://propertymap.sfplanning.org/?&search=1202/002J,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/17,Upcoming,616 DIVISADERO ST,,San Francisco,POINT (-122.437816 37.775272),,,CA,94117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5586/001,1 DORMAN AVE,1 DORMAN AVE,94124,60158,N/A,,http://propertymap.sfplanning.org/?&search=5586/001,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Violation - Did Not Report,4/1/13,Complied,1 DORMAN AVE,,San Francisco,POINT (-122.402831 37.739703),,,CA,94124,,,,,,,32,29,91.1,27.7,27.7,142.3,2.4,29,91.1,31,29.2,91.8,29.1,29.1,143.4,2.4,29.2,91.8,,,,,,,,,
0206/008,500 Sansome,500 SANSOME ST,94111,155817,Office,,http://propertymap.sfplanning.org/?&search=0206/008,Exempt - Change of Ownership,Exempt - Change of Ownership,Complied,Complied,Complied,4/1/14,Pending,500 SANSOME ST,,San Francisco,POINT (-122.401559 37.795098),,,CA,94111,,,,,,,,37.8,92.7,-44.4,,434.01,,38.2,93.1,98,39.3,90.4,-61.4,-61.4,452.6,2.9,39.7,90.7,100,27.9,56,-75.7,-75.7,287.5,1.8,32.2,60.4
